"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";
"R33";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R34";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R35";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R36";"12k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R37";"12k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R38";"12k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R39";"12k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R40";"12k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R41";"300";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R42";"300";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R43";"300";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R44";"300";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R45";"300";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R46";"2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R47";"2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R48";"2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R49";"2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R50";"2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R51";"0";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R52";"0";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R53";"0";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R54";"0";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R55";"0";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R56";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R57";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R58";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R59";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R60";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R61";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R62";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R63";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R64";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"R65";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";
"TP1";"TPSB1,27";"TPSB1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";
"TP2";"TPSB1,27";"TPSB1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";
