##################################
Log file for EIT with ScouseTom system
Date and time this file was created : 29-Apr-2016 16:37:17
Description of this ExpSetup file : Nir Drift Experiment, Anya/Anka
ExpSetup created : 19-Aug-2015 10:30:51
The EEG system file stored was : C:\EIT-DATA\Nir - Cardiff Phant third go 290416\CardiffPhant_NoJ_REC_290416.bdf
The PC name was : PC-
The Username was : Administrator
--------------
System in "SingleFreqMode" - single amp and freq, running continuously
Amplitude: 100 uA
Frequency: 2000 Hz
Protocol loaded was Spiral16_ScousTom.txt with 34 lines 
Sources	Sinks
6	1
7	2
11	6
11	7
10	6
7	3
7	1
6	2
14	1
10	5
14	2
5	1
8	3
8	2
8	4
9	4
9	5
10	4
14	10
14	11
9	3
8	5
15	3
16	4
12	9
15	11
16	12
15	12
16	13
15	13
12	7
13	1
13	10
16	6
--------------
Number of repeats : 7000 
Injection time per protocol line : 100 ms or 0.10 s
Estimated time to complete measurements : 6.61 hours 
--------------
##################################
Codes for info from arduino: 
R	Current Repeat
P	Current Protocol Line
O	frequency order (multifreqmode)
D	phases (stim mode)
Codes for commmands sent to arduino: 
S	Start
H	Stop
I	Initialise
##
Time	Arduino Message	PC Message
975.39s	R280	
978.79s	R281	
982.20s	R282	
985.59s	R283	
989.00s	R284	
992.39s	R285	
995.80s	R286	
999.19s	R287	
1002.60s	R288	
1006.00s	R289	
1009.38s	R290	
1012.80s	R291	
1016.21s	R292	
1019.60s	R293	
1023.01s	R294	
1026.40s	R295	
1029.81s	R296	
1033.20s	R297	
1036.61s	R298	
1040.00s	R299	
1043.39s	R300	
1046.80s	R301	
1050.19s	R302	
1053.60s	R303	
1057.00s	R304	
1060.41s	R305	
1063.80s	R306	
1067.21s	R307	
1070.60s	R308	
1074.01s	R309	
1077.40s	R310	
1080.81s	R311	
1084.20s	R312	
1087.61s	R313	
1091.00s	R314	
1094.41s	R315	
1097.80s	R316	
1101.21s	R317	
1104.60s	R318	
1108.01s	R319	
1111.40s	R320	
1114.81s	R321	
1118.20s	R322	
1121.61s	R323	
1125.00s	R324	
1128.41s	R325	
1131.80s	R326	
1135.21s	R327	
1138.60s	R328	
1142.01s	R329	
1145.41s	R330	
1148.81s	R331	
1152.21s	R332	
1155.62s	R333	
1159.01s	R334	
1162.42s	R335	
1165.81s	R336	
1169.22s	R337	
1172.61s	R338	
1176.02s	R339	
1179.41s	R340	
1182.81s	R341	
1186.22s	R342	
1189.61s	R343	
1193.02s	R344	
1196.41s	R345	
1199.82s	R346	
1203.21s	R347	
1206.62s	R348	
1210.01s	R349	
1213.42s	R350	
1216.81s	R351	
1220.22s	R352	
1223.61s	R353	
1227.02s	R354	
1230.41s	R355	
1233.82s	R356	
1237.21s	R357	
1240.62s	R358	
1244.01s	R359	
1247.42s	R360	
1250.81s	R361	
1254.22s	R362	
1257.61s	R363	
1261.03s	R364	
1264.42s	R365	
1267.83s	R366	
1271.22s	R367	
1274.61s	R368	
1278.02s	R369	
1281.43s	R370	
1284.82s	R371	
1288.23s	R372	
1291.62s	R373	
1295.03s	R374	
1298.42s	R375	
1301.83s	R376	
1305.23s	R377	
1308.62s	R378	
1312.03s	R379	
1315.42s	R380	
1318.83s	R381	
1322.22s	R382	
1325.63s	R383	
1329.02s	R384	
1332.43s	R385	
1335.82s	R386	
1339.23s	R387	
1342.62s	R388	
1346.03s	R389	
1349.43s	R390	
1352.83s	R391	
1356.22s	R392	
1359.63s	R393	
1363.02s	R394	
1366.43s	R395	
1369.82s	R396	
1373.23s	R397	
1376.62s	R398	
1380.04s	R399	
1383.42s	R400	
1386.83s	R401	
1390.23s	R402	
1393.62s	R403	
1397.03s	R404	
1400.44s	R405	
1403.83s	R406	
1407.24s	R407	
1410.63s	R408	
1414.02s	R409	
1417.44s	R410	
1420.83s	R411	
1424.24s	R412	
1427.63s	R413	
1431.04s	R414	
1434.43s	R415	
1437.84s	R416	
1441.23s	R417	
1444.64s	R418	
1448.03s	R419	
1451.44s	R420	
1454.83s	R421	
1458.24s	R422	
1461.63s	R423	
1465.04s	R424	
1468.43s	R425	
1471.84s	R426	
1475.23s	R427	
1478.64s	R428	
1482.04s	R429	
1485.43s	R430	
1488.84s	R431	
1492.23s	R432	
1495.64s	R433	
1499.04s	R434	
1502.43s	R435	
1505.84s	R436	
1509.23s	R437	
1512.64s	R438	
1516.03s	R439	
1519.44s	R440	
1522.83s	R441	
1526.24s	R442	
1529.63s	R443	
1533.04s	R444	
1536.44s	R445	
1539.85s	R446	
1543.24s	R447	
1546.65s	R448	
1550.04s	R449	
1553.44s	R450	
1556.85s	R451	
1560.24s	R452	
1563.65s	R453	
1567.05s	R454	
1570.45s	R455	
1573.84s	R456	
1577.25s	R457	
1580.64s	R458	
1584.05s	R459	
1587.45s	R460	
1590.85s	R461	
1594.25s	R462	
1597.64s	R463	
1601.05s	R464	
1604.44s	R465	
1607.85s	R466	
1611.24s	R467	
1614.65s	R468	
1618.04s	R469	
1621.45s	R470	
1624.85s	R471	
1628.26s	R472	
1631.65s	R473	
1635.06s	R474	
1638.45s	R475	
1641.86s	R476	
1645.25s	R477	
1648.66s	R478	
1652.05s	R479	
1655.46s	R480	
1658.85s	R481	
1662.26s	R482	
1665.65s	R483	
1669.06s	R484	
1672.45s	R485	
1675.86s	R486	
1679.25s	R487	
1682.64s	R488	
1686.06s	R489	
1689.47s	R490	
1692.87s	R491	
1696.26s	R492	
1699.67s	R493	
1703.06s	R494	
1706.47s	R495	
1709.86s	R496	
1713.25s	R497	
1716.66s	R498	
1720.05s	R499	
1723.46s	R500	
1726.85s	R501	
1730.27s	R502	
1733.66s	R503	
1737.07s	R504	
1740.46s	R505	
1743.85s	R506	
1747.26s	R507	
1750.65s	R508	
1754.06s	R509	
1757.46s	R510	
1760.87s	R511	
1764.26s	R512	
1767.67s	R513	
1771.06s	R514	
1774.47s	R515	
1777.86s	R516	
1781.27s	R517	
1784.66s	R518	
1788.07s	R519	
1791.46s	R520	
1794.87s	R521	
1798.26s	R522	
1801.67s	R523	
1805.06s	R524	
1808.47s	R525	
1811.86s	R526	
1815.27s	R527	
1818.67s	R528	
1822.06s	R529	
1825.47s	R530	
1828.86s	R531	
1832.27s	R532	
1835.66s	R533	
1839.07s	R534	
1842.46s	R535	
1845.87s	R536	
1849.26s	R537	
1852.67s	R538	
1856.06s	R539	
1859.47s	R540	
1862.86s	R541	
1866.27s	R542	
1869.66s	R543	
1873.07s	R544	
1876.46s	R545	
1879.87s	R546	
1883.28s	R547	
1886.67s	R548	
1890.07s	R549	
1893.48s	R550	
1896.87s	R551	
1900.28s	R552	
1903.67s	R553	
1907.08s	R554	
1910.47s	R555	
1913.88s	R556	
1917.27s	R557	
1920.68s	R558	
1924.08s	R559	
1927.48s	R560	
