##################################
Log file for EIT with ScouseTom system
Date and time this file was created : 29-Apr-2016 16:37:17
Description of this ExpSetup file : Nir Drift Experiment, Anya/Anka
ExpSetup created : 19-Aug-2015 10:30:51
The EEG system file stored was : C:\EIT-DATA\Nir - Cardiff Phant third go 290416\CardiffPhant_NoJ_REC_290416.bdf
The PC name was : PC-
The Username was : Administrator
--------------
System in "SingleFreqMode" - single amp and freq, running continuously
Amplitude: 100 uA
Frequency: 2000 Hz
Protocol loaded was Spiral16_ScousTom.txt with 34 lines 
Sources	Sinks
6	1
7	2
11	6
11	7
10	6
7	3
7	1
6	2
14	1
10	5
14	2
5	1
8	3
8	2
8	4
9	4
9	5
10	4
14	10
14	11
9	3
8	5
15	3
16	4
12	9
15	11
16	12
15	12
16	13
15	13
12	7
13	1
13	10
16	6
--------------
Number of repeats : 7000 
Injection time per protocol line : 100 ms or 0.10 s
Estimated time to complete measurements : 6.61 hours 
--------------
##################################
Codes for info from arduino: 
R	Current Repeat
P	Current Protocol Line
O	frequency order (multifreqmode)
D	phases (stim mode)
Codes for commmands sent to arduino: 
S	Start
H	Stop
I	Initialise
##
Time	Arduino Message	PC Message
4175.07s	R1221	
4178.48s	R1222	
4181.87s	R1223	
4185.28s	R1224	
4188.67s	R1225	
4192.08s	R1226	
4195.47s	R1227	
4198.88s	R1228	
4202.27s	R1229	
4205.68s	R1230	
4209.07s	R1231	
4212.48s	R1232	
4215.88s	R1233	
4219.27s	R1234	
4222.68s	R1235	
4226.08s	R1236	
4229.48s	R1237	
4232.88s	R1238	
4236.29s	R1239	
4239.68s	R1240	
4243.09s	R1241	
4246.48s	R1242	
4249.89s	R1243	
4253.28s	R1244	
4256.67s	R1245	
4260.09s	R1246	
4263.48s	R1247	
4266.89s	R1248	
4270.28s	R1249	
4273.69s	R1250	
4277.08s	R1251	
4280.49s	R1252	
4283.88s	R1253	
4287.29s	R1254	
4290.68s	R1255	
4294.09s	R1256	
4297.49s	R1257	
4300.89s	R1258	
4304.28s	R1259	
4307.69s	R1260	
4311.08s	R1261	
4314.49s	R1262	
4317.88s	R1263	
4321.29s	R1264	
4324.68s	R1265	
4328.10s	R1266	
4331.49s	R1267	
4334.88s	R1268	
4338.29s	R1269	
4341.68s	R1270	
4345.09s	R1271	
4348.50s	R1272	
4351.88s	R1273	
4355.29s	R1274	
4358.68s	R1275	
4362.09s	R1276	
4365.48s	R1277	
4368.89s	R1278	
4372.29s	R1279	
4375.70s	R1280	
4379.09s	R1281	
4382.50s	R1282	
4385.89s	R1283	
4389.30s	R1284	
4392.69s	R1285	
4396.10s	R1286	
4399.49s	R1287	
4402.90s	R1288	
4406.29s	R1289	
4409.70s	R1290	
4413.09s	R1291	
4416.50s	R1292	
4419.89s	R1293	
4423.30s	R1294	
4426.69s	R1295	
4430.10s	R1296	
4433.49s	R1297	
4436.90s	R1298	
4440.29s	R1299	
4443.70s	R1300	
4447.11s	R1301	
4450.50s	R1302	
4453.89s	R1303	
4457.30s	R1304	
4460.69s	R1305	
4464.10s	R1306	
4467.51s	R1307	
4470.91s	R1308	
4474.30s	R1309	
4477.71s	R1310	
4481.10s	R1311	
4484.49s	R1312	
4487.90s	R1313	
4491.31s	R1314	
4494.70s	R1315	
4498.11s	R1316	
4501.50s	R1317	
4504.90s	R1318	
4508.31s	R1319	
4511.70s	R1320	
4515.11s	R1321	
4518.50s	R1322	
4521.91s	R1323	
4525.30s	R1324	
4528.71s	R1325	
4532.10s	R1326	
4535.51s	R1327	
4538.90s	R1328	
4542.31s	R1329	
4545.70s	R1330	
4549.11s	R1331	
4552.50s	R1332	
4555.91s	R1333	
4559.30s	R1334	
4562.71s	R1335	
4566.10s	R1336	
4569.51s	R1337	
4572.90s	R1338	
4576.31s	R1339	
4579.70s	R1340	
4583.11s	R1341	
4586.51s	R1342	
4589.92s	R1343	
4593.31s	R1344	
4596.72s	R1345	
4600.11s	R1346	
4603.52s	R1347	
4606.91s	R1348	
4610.32s	R1349	
4613.71s	R1350	
4617.12s	R1351	
4620.51s	R1352	
4623.92s	R1353	
4627.31s	R1354	
4630.72s	R1355	
4634.12s	R1356	
4637.52s	R1357	
4640.92s	R1358	
4644.31s	R1359	
4647.72s	R1360	
4651.11s	R1361	
4654.52s	R1362	
4657.91s	R1363	
4661.32s	R1364	
4664.71s	R1365	
4668.12s	R1366	
4671.51s	R1367	
4674.92s	R1368	
4678.31s	R1369	
4681.72s	R1370	
4685.11s	R1371	
4688.53s	R1372	
4691.92s	R1373	
4695.33s	R1374	
4698.72s	R1375	
4702.13s	R1376	
4705.52s	R1377	
4708.93s	R1378	
4712.32s	R1379	
4715.73s	R1380	
4719.12s	R1381	
4722.53s	R1382	
4725.92s	R1383	
4729.33s	R1384	
4732.72s	R1385	
4736.13s	R1386	
4739.52s	R1387	
4742.93s	R1388	
4746.32s	R1389	
4749.73s	R1390	
4753.12s	R1391	
4756.53s	R1392	
4759.92s	R1393	
4763.33s	R1394	
4766.73s	R1395	
4770.12s	R1396	
4773.53s	R1397	
4776.92s	R1398	
4780.33s	R1399	
4783.72s	R1400	
4787.13s	R1401	
4790.52s	R1402	
4793.93s	R1403	
4797.32s	R1404	
4800.73s	R1405	
4804.12s	R1406	
4807.53s	R1407	
4810.94s	R1408	
4814.33s	R1409	
4814.38s	!To,5	
4814.38s		ERROR
4817.73s	R1410	
4821.12s	R1411	
4824.53s	R1412	
4827.92s	R1413	
4831.34s	R1414	
4834.74s	R1415	
4838.14s	R1416	
4841.53s	R1417	
4844.92s	R1418	
4848.33s	R1419	
4851.72s	R1420	
4855.14s	R1421	
4858.53s	R1422	
4861.94s	R1423	
4865.33s	R1424	
4868.75s	R1425	
4872.14s	R1426	
4875.53s	R1427	
4878.94s	R1428	
4882.33s	R1429	
4885.74s	R1430	
4889.13s	R1431	
4892.54s	R1432	
4895.93s	R1433	
4899.34s	R1434	
4902.73s	R1435	
4906.14s	R1436	
4909.54s	R1437	
4912.95s	R1438	
4916.34s	R1439	
4919.75s	R1440	
4923.14s	R1441	
4926.53s	R1442	
4929.94s	R1443	
4933.33s	R1444	
4936.74s	R1445	
4940.13s	R1446	
4943.54s	R1447	
4946.93s	R1448	
4950.35s	R1449	
4953.74s	R1450	
4957.15s	R1451	
4960.54s	R1452	
4963.95s	R1453	
4967.34s	R1454	
4970.75s	R1455	
4974.14s	R1456	
4977.55s	R1457	
4980.94s	R1458	
4984.35s	R1459	
4987.74s	R1460	
4991.15s	R1461	
4994.54s	R1462	
4997.95s	R1463	
5001.34s	R1464	
5004.75s	R1465	
5008.14s	R1466	
5011.55s	R1467	
5014.94s	R1468	
5018.35s	R1469	
5021.75s	R1470	
5025.16s	R1471	
5028.55s	R1472	
5031.94s	R1473	
5035.35s	R1474	
5038.75s	R1475	
5042.16s	R1476	
5045.55s	R1477	
5048.94s	R1478	
5052.35s	R1479	
5055.74s	R1480	
5059.15s	R1481	
5062.55s	R1482	
5065.96s	R1483	
5069.35s	R1484	
5072.76s	R1485	
5076.15s	R1486	
5079.56s	R1487	
5082.95s	R1488	
5086.36s	R1489	
5089.75s	R1490	
5093.16s	R1491	
5096.55s	R1492	
5099.96s	R1493	
5103.35s	R1494	
5106.76s	R1495	
5110.15s	R1496	
5113.54s	R1497	
5116.95s	R1498	
5120.36s	R1499	
5123.75s	R1500	
5127.15s	R1501	
5130.56s	R1502	
5133.95s	R1503	
5137.36s	R1504	
5140.75s	R1505	
5144.16s	R1506	
5147.55s	R1507	
5150.96s	R1508	
5154.35s	R1509	
5157.76s	R1510	
5161.16s	R1511	
5164.55s	R1512	
5167.96s	R1513	
5171.37s	R1514	
5174.76s	R1515	
5178.17s	R1516	
5181.56s	R1517	
5184.97s	R1518	
5188.36s	R1519	
5191.77s	R1520	
5195.16s	R1521	
5198.57s	R1522	
5201.96s	R1523	
5205.37s	R1524	
5208.76s	R1525	
5212.17s	R1526	
5215.56s	R1527	
5218.97s	R1528	
5222.36s	R1529	
5225.77s	R1530	
5229.16s	R1531	
5232.57s	R1532	
5235.96s	R1533	
5239.37s	R1534	
5242.76s	R1535	
5246.17s	R1536	
5249.56s	R1537	
5252.96s	R1538	
5256.37s	R1539	
5259.76s	R1540	
5263.17s	R1541	
5266.56s	R1542	
5269.97s	R1543	
5273.36s	R1544	
5276.77s	R1545	
5280.16s	R1546	
5283.57s	R1547	
5286.96s	R1548	
5290.37s	R1549	
5293.76s	R1550	
5297.17s	R1551	
5300.56s	R1552	
5303.97s	R1553	
5307.36s	R1554	
5310.77s	R1555	
5314.16s	R1556	
5317.57s	R1557	
5320.97s	R1558	
5324.37s	R1559	
5327.76s	R1560	
5331.17s	R1561	
5334.56s	R1562	
5337.97s	R1563	
5341.37s	R1564	
5344.77s	R1565	
5348.17s	R1566	
5351.58s	R1567	
5354.97s	R1568	
5358.38s	R1569	
5361.77s	R1570	
5365.18s	R1571	
5368.57s	R1572	
5371.98s	R1573	
5375.37s	R1574	
5378.78s	R1575	
5382.17s	R1576	
5385.58s	R1577	
5388.97s	R1578	
5392.38s	R1579	
5395.77s	R1580	
5399.18s	R1581	
5402.57s	R1582	
5405.98s	R1583	
5409.37s	R1584	
5412.78s	R1585	
5416.17s	R1586	
5419.58s	R1587	
5422.97s	R1588	
5426.38s	R1589	
5429.77s	R1590	
5433.18s	R1591	
5436.57s	R1592	
5439.99s	R1593	
5443.38s	R1594	
5446.77s	R1595	
5450.18s	R1596	
5453.59s	R1597	
5456.99s	R1598	
5460.38s	R1599	
5463.79s	R1600	
5467.18s	R1601	
5470.59s	R1602	
5473.98s	R1603	
5477.37s	R1604	
5480.78s	R1605	
5484.19s	R1606	
5487.58s	R1607	
5490.99s	R1608	
5494.38s	R1609	
5497.77s	R1610	
5501.18s	R1611	
5504.59s	R1612	
5507.98s	R1613	
5511.38s	R1614	
5514.79s	R1615	
5518.18s	R1616	
5521.59s	R1617	
5524.98s	R1618	
5528.39s	R1619	
5531.80s	R1620	
5535.19s	R1621	
5538.58s	R1622	
5541.99s	R1623	
5545.38s	R1624	
5548.79s	R1625	
5552.18s	R1626	
5555.59s	R1627	
5558.98s	R1628	
5562.39s	R1629	
5565.78s	R1630	
5569.19s	R1631	
5572.58s	R1632	
5575.99s	R1633	
5579.39s	R1634	
5582.80s	R1635	
5586.19s	R1636	
5589.60s	R1637	
5592.99s	R1638	
5596.38s	R1639	
5599.79s	R1640	
5603.18s	R1641	
5606.59s	R1642	
5609.98s	R1643	
5613.39s	R1644	
5616.78s	R1645	
5620.20s	R1646	
5623.59s	R1647	
5627.00s	R1648	
5630.39s	R1649	
5633.80s	R1650	
5637.19s	R1651	
5640.60s	R1652	
5643.99s	R1653	
5647.40s	R1654	
5650.79s	R1655	
5654.20s	R1656	
5657.59s	R1657	
5661.00s	R1658	
5664.39s	R1659	
5667.80s	R1660	
5671.19s	R1661	
5674.60s	R1662	
5677.99s	R1663	
5681.40s	R1664	
5684.79s	R1665	
5688.20s	R1666	
5691.59s	R1667	
5695.00s	R1668	
5698.40s	R1669	
5701.81s	R1670	
5705.20s	R1671	
5708.61s	R1672	
5712.00s	R1673	
5715.41s	R1674	
5718.80s	R1675	
5722.21s	R1676	
5725.60s	R1677	
5729.01s	R1678	
5732.40s	R1679	
5735.81s	R1680	
5739.20s	R1681	
5742.61s	R1682	
5746.00s	R1683	
5749.41s	R1684	
5752.80s	R1685	
5756.21s	R1686	
5759.60s	R1687	
5763.00s	R1688	
5766.40s	R1689	
5769.80s	R1690	
5773.21s	R1691	
5776.60s	R1692	
5780.01s	R1693	
5783.40s	R1694	
5786.81s	R1695	
5790.20s	R1696	
5793.61s	R1697	
5797.00s	R1698	
5800.41s	R1699	
5803.80s	R1700	
5807.21s	R1701	
5810.60s	R1702	
5814.01s	R1703	
5817.40s	R1704	
5820.81s	R1705	
5824.22s	R1706	
5827.61s	R1707	
5831.02s	R1708	
5834.41s	R1709	
5837.80s	R1710	
5841.21s	R1711	
5844.62s	R1712	
5848.01s	R1713	
5851.40s	R1714	
5854.81s	R1715	
5858.21s	R1716	
5861.62s	R1717	
5865.01s	R1718	
5868.42s	R1719	
5871.81s	R1720	
5875.22s	R1721	
5878.61s	R1722	
5882.02s	R1723	
5885.41s	R1724	
5888.82s	R1725	
5892.21s	R1726	
5895.62s	R1727	
5899.01s	R1728	
5902.42s	R1729	
5905.81s	R1730	
5909.22s	R1731	
5912.61s	R1732	
5916.02s	R1733	
5919.41s	R1734	
5922.82s	R1735	
5926.21s	R1736	
5929.62s	R1737	
5933.01s	R1738	
5936.42s	R1739	
5939.82s	R1740	
5943.21s	R1741	
5946.62s	R1742	
5950.01s	R1743	
5953.42s	R1744	
5956.81s	R1745	
5960.22s	R1746	
5963.61s	R1747	
5967.02s	R1748	
5970.43s	R1749	
5973.82s	R1750	
5977.21s	R1751	
5980.62s	R1752	
5984.01s	R1753	
5987.43s	R1754	
5990.82s	R1755	
5994.22s	R1756	
5997.62s	R1757	
6001.03s	R1758	
6004.41s	R1759	
6007.83s	R1760	
6011.22s	R1761	
6014.63s	R1762	
6018.02s	R1763	
6021.43s	R1764	
6024.82s	R1765	
6028.23s	R1766	
6031.62s	R1767	
6035.03s	R1768	
6038.42s	R1769	
6041.83s	R1770	
6045.22s	R1771	
6048.63s	R1772	
6052.02s	R1773	
6055.43s	R1774	
6058.82s	R1775	
6062.23s	R1776	
6065.62s	R1777	
6069.03s	R1778	
6072.42s	R1779	
6075.83s	R1780	
6079.22s	R1781	
6082.63s	R1782	
6086.02s	R1783	
6089.43s	R1784	
6092.82s	R1785	
6096.24s	R1786	
6099.63s	R1787	
6103.04s	R1788	
6106.43s	R1789	
6109.84s	R1790	
6113.23s	R1791	
6116.62s	R1792	
6120.03s	R1793	
6123.42s	R1794	
6126.83s	R1795	
6130.24s	R1796	
6133.63s	R1797	
6137.04s	R1798	
6140.43s	R1799	
6143.83s	R1800	
6147.24s	R1801	
6150.63s	R1802	
6154.04s	R1803	
6157.43s	R1804	
6160.84s	R1805	
6164.23s	R1806	
6167.64s	R1807	
6171.03s	R1808	
6174.44s	R1809	
6177.83s	R1810	
6181.24s	R1811	
6184.63s	R1812	
6188.04s	R1813	
6191.43s	R1814	
6194.84s	R1815	
6198.23s	R1816	
6201.64s	R1817	
6205.03s	R1818	
6208.44s	R1819	
6211.83s	R1820	
6215.24s	R1821	
6218.63s	R1822	
6222.04s	R1823	
6225.43s	R1824	
6228.84s	R1825	
6232.23s	R1826	
6235.64s	R1827	
6239.03s	R1828	
6242.44s	R1829	
6245.83s	R1830	
6249.24s	R1831	
6252.63s	R1832	
6256.04s	R1833	
6259.45s	R1834	
6262.84s	R1835	
6266.25s	R1836	
6269.64s	R1837	
6273.03s	R1838	
6276.44s	R1839	
6279.85s	R1840	
6283.25s	R1841	
6286.64s	R1842	
6290.05s	R1843	
6293.44s	R1844	
6296.85s	R1845	
6300.24s	R1846	
6303.65s	R1847	
6307.04s	R1848	
6310.45s	R1849	
6313.84s	R1850	
6317.25s	R1851	
6320.64s	R1852	
6324.05s	R1853	
6327.44s	R1854	
6330.85s	R1855	
6334.26s	R1856	
6337.66s	R1857	
6341.05s	R1858	
6344.46s	R1859	
6347.85s	R1860	
6351.24s	R1861	
6354.65s	R1862	
6358.06s	R1863	
6361.45s	R1864	
6364.84s	R1865	
6368.25s	R1866	
6371.64s	R1867	
6375.05s	R1868	
6378.44s	R1869	
6381.85s	R1870	
6385.24s	R1871	
6388.65s	R1872	
6392.04s	R1873	
6395.46s	R1874	
6398.84s	R1875	
6402.26s	R1876	
6405.65s	R1877	
6409.06s	R1878	
6412.45s	R1879	
6415.86s	R1880	
6419.25s	R1881	
6422.66s	R1882	
6426.05s	R1883	
6429.46s	R1884	
6432.85s	R1885	
6436.26s	R1886	
6439.65s	R1887	
6443.06s	R1888	
6446.45s	R1889	
6449.86s	R1890	
6453.25s	R1891	
6456.66s	R1892	
6460.05s	R1893	
6463.46s	R1894	
6466.85s	R1895	
6470.26s	R1896	
6473.66s	R1897	
6477.07s	R1898	
6480.45s	R1899	
6483.87s	R1900	
6487.26s	R1901	
6490.67s	R1902	
6494.06s	R1903	
6497.47s	R1904	
6500.86s	R1905	
6504.27s	R1906	
6507.66s	R1907	
6511.07s	R1908	
6514.46s	R1909	
6517.87s	R1910	
6521.26s	R1911	
6524.67s	R1912	
6528.06s	R1913	
6531.45s	R1914	
6534.86s	R1915	
6538.27s	R1916	
6541.67s	R1917	
6545.06s	R1918	
6548.47s	R1919	
6551.86s	R1920	
6555.27s	R1921	
6558.66s	R1922	
6562.07s	R1923	
6565.47s	R1924	
6568.88s	R1925	
6572.27s	R1926	
6575.66s	R1927	
6579.07s	R1928	
6582.46s	R1929	
6585.87s	R1930	
6589.26s	R1931	
6592.67s	R1932	
6596.06s	R1933	
6599.47s	R1934	
6602.86s	R1935	
6606.27s	R1936	
6609.66s	R1937	
6613.07s	R1938	
6616.47s	R1939	
6619.88s	R1940	
6623.27s	R1941	
6626.68s	R1942	
6630.07s	R1943	
6633.46s	R1944	
6636.87s	R1945	
6640.26s	R1946	
6643.67s	R1947	
6647.06s	R1948	
6650.47s	R1949	
6653.86s	R1950	
6657.28s	R1951	
6660.67s	R1952	
6664.08s	R1953	
6667.47s	R1954	
6670.88s	R1955	
6674.27s	R1956	
6677.68s	R1957	
6681.07s	R1958	
6684.48s	R1959	
6687.87s	R1960	
6691.28s	R1961	
6694.67s	R1962	
6698.08s	R1963	
6701.47s	R1964	
6704.88s	R1965	
6708.27s	R1966	
6711.68s	R1967	
6715.07s	R1968	
6718.48s	R1969	
6721.87s	R1970	
6725.28s	R1971	
6728.67s	R1972	
6732.08s	R1973	
6735.47s	R1974	
6738.88s	R1975	
6742.27s	R1976	
6745.68s	R1977	
6749.07s	R1978	
6752.48s	R1979	
6755.87s	R1980	
6759.29s	R1981	
6762.67s	R1982	
6766.08s	R1983	
6769.48s	R1984	
6772.89s	R1985	
6776.28s	R1986	
6779.67s	R1987	
6783.08s	R1988	
6786.47s	R1989	
6789.88s	R1990	
6793.27s	R1991	
6796.69s	R1992	
6800.08s	R1993	
6803.49s	R1994	
6806.88s	R1995	
6810.29s	R1996	
6813.69s	R1997	
6817.07s	R1998	
6820.49s	R1999	
6823.89s	R2000	
6827.29s	R2001	
6830.68s	R2002	
6834.09s	R2003	
6837.48s	R2004	
6840.89s	R2005	
6844.28s	R2006	
6847.69s	R2007	
6851.08s	R2008	
6854.49s	R2009	
6857.88s	R2010	
6861.29s	R2011	
6864.68s	R2012	
6868.09s	R2013	
6871.48s	R2014	
6874.89s	R2015	
6878.28s	R2016	
6881.69s	R2017	
6885.08s	R2018	
6888.49s	R2019	
6891.88s	R2020	
6895.29s	R2021	
6898.68s	R2022	
6902.09s	R2023	
6905.48s	R2024	
6908.89s	R2025	
6912.28s	R2026	
6915.69s	R2027	
6919.08s	R2028	
6922.49s	R2029	
6925.88s	R2030	
6929.29s	R2031	
6932.69s	R2032	
6936.10s	R2033	
6939.48s	R2034	
6942.89s	R2035	
6946.29s	R2036	
6949.70s	R2037	
6953.09s	R2038	
6956.50s	R2039	
6959.89s	R2040	
6963.30s	R2041	
6966.69s	R2042	
6970.10s	R2043	
6973.49s	R2044	
6976.90s	R2045	
6980.31s	R2046	
6983.71s	R2047	
6987.10s	R2048	
6990.51s	R2049	
6993.90s	R2050	
6997.29s	R2051	
7000.70s	R2052	
7004.11s	R2053	
7007.50s	R2054	
7010.90s	R2055	
7014.31s	R2056	
7017.70s	R2057	
7021.11s	R2058	
7024.50s	R2059	
7027.90s	R2060	
7031.30s	R2061	
7034.71s	R2062	
7038.10s	R2063	
7041.51s	R2064	
7044.90s	R2065	
7048.31s	R2066	
7051.70s	R2067	
7055.11s	R2068	
7058.50s	R2069	
7061.91s	R2070	
7065.30s	R2071	
7068.71s	R2072	
7072.10s	R2073	
7075.51s	R2074	
7078.90s	R2075	
7082.31s	R2076	
7085.70s	R2077	
7089.11s	R2078	
7092.50s	R2079	
7095.91s	R2080	
7099.30s	R2081	
7102.71s	R2082	
7106.11s	R2083	
7109.51s	R2084	
7112.91s	R2085	
7116.30s	R2086	
7119.72s	R2087	
7123.11s	R2088	
7126.52s	R2089	
7129.91s	R2090	
7133.31s	R2091	
7136.71s	R2092	
7140.12s	R2093	
7143.51s	R2094	
7146.92s	R2095	
7150.31s	R2096	
7153.72s	R2097	
7157.11s	R2098	
7160.52s	R2099	
7163.92s	R2100	
7167.31s	R2101	
7170.72s	R2102	
7174.11s	R2103	
7177.50s	R2104	
7180.91s	R2105	
7184.30s	R2106	
7187.71s	R2107	
7191.12s	R2108	
7194.51s	R2109	
7197.92s	R2110	
7201.31s	R2111	
7204.70s	R2112	
7208.11s	R2113	
7211.52s	R2114	
7214.92s	R2115	
7218.33s	R2116	
7221.72s	R2117	
7225.11s	R2118	
7228.52s	R2119	
7231.91s	R2120	
7235.32s	R2121	
7238.71s	R2122	
7242.12s	R2123	
7245.51s	R2124	
7248.92s	R2125	
7252.31s	R2126	
7255.72s	R2127	
7259.11s	R2128	
7262.52s	R2129	
7265.91s	R2130	
7269.32s	R2131	
7272.71s	R2132	
7276.12s	R2133	
7279.52s	R2134	
7282.93s	R2135	
7286.32s	R2136	
7289.73s	R2137	
7293.12s	R2138	
7296.53s	R2139	
7299.92s	R2140	
7303.33s	R2141	
7306.72s	R2142	
7310.13s	R2143	
7313.52s	R2144	
7316.93s	R2145	
7320.33s	R2146	
7323.72s	R2147	
7327.13s	R2148	
7330.52s	R2149	
7333.93s	R2150	
7337.32s	R2151	
7340.73s	R2152	
7344.12s	R2153	
7347.53s	R2154	
7350.92s	R2155	
7354.33s	R2156	
7357.72s	R2157	
7361.13s	R2158	
7364.52s	R2159	
7367.93s	R2160	
7371.32s	R2161	
7374.73s	R2162	
7378.12s	R2163	
7381.53s	R2164	
7384.92s	R2165	
7388.33s	R2166	
7391.72s	R2167	
7395.13s	R2168	
7398.52s	R2169	
7401.94s	R2170	
7405.33s	R2171	
7408.74s	R2172	
7412.13s	R2173	
7415.52s	R2174	
7418.93s	R2175	
7422.34s	R2176	
7425.73s	R2177	
7429.14s	R2178	
7432.53s	R2179	
7435.94s	R2180	
7439.33s	R2181	
7442.74s	R2182	
7446.13s	R2183	
7449.54s	R2184	
7452.93s	R2185	
7456.34s	R2186	
7459.73s	R2187	
7463.14s	R2188	
7466.53s	R2189	
7469.94s	R2190	
7473.34s	R2191	
7476.75s	R2192	
7480.14s	R2193	
7483.53s	R2194	
7486.94s	R2195	
7490.33s	R2196	
7493.74s	R2197	
7497.13s	R2198	
7500.54s	R2199	
7503.93s	R2200	
7507.34s	R2201	
7510.73s	R2202	
7514.14s	R2203	
7517.53s	R2204	
7520.94s	R2205	
7524.33s	R2206	
7527.74s	R2207	
7531.13s	R2208	
7534.54s	R2209	
7537.93s	R2210	
7541.34s	R2211	
7544.73s	R2212	
7548.15s	R2213	
7551.55s	R2214	
7554.94s	R2215	
7558.35s	R2216	
7561.74s	R2217	
7565.15s	R2218	
7568.54s	R2219	
7571.95s	R2220	
7575.34s	R2221	
7578.75s	R2222	
7582.14s	R2223	
7585.55s	R2224	
7588.94s	R2225	
7592.35s	R2226	
7595.74s	R2227	
7599.15s	R2228	
7602.54s	R2229	
7605.95s	R2230	
7609.34s	R2231	
7612.75s	R2232	
7616.14s	R2233	
7619.54s	R2234	
7622.95s	R2235	
7626.35s	R2236	
7629.74s	R2237	
7633.15s	R2238	
7636.54s	R2239	
7639.95s	R2240	
7643.34s	R2241	
7646.75s	R2242	
7650.14s	R2243	
7653.55s	R2244	
7656.94s	R2245	
7660.35s	R2246	
7663.74s	R2247	
7667.15s	R2248	
7670.54s	R2249	
7673.95s	R2250	
7677.35s	R2251	
7680.76s	R2252	
7684.15s	R2253	
7687.56s	R2254	
7690.95s	R2255	
7694.36s	R2256	
7697.75s	R2257	
7701.16s	R2258	
7704.55s	R2259	
7707.96s	R2260	
7711.35s	R2261	
7714.76s	R2262	
7718.15s	R2263	
7721.56s	R2264	
7724.95s	R2265	
7728.36s	R2266	
7731.75s	R2267	
7735.16s	R2268	
7738.55s	R2269	
7741.96s	R2270	
7745.35s	R2271	
7748.76s	R2272	
7752.15s	R2273	
7755.56s	R2274	
7758.95s	R2275	
7762.36s	R2276	
7765.75s	R2277	
7769.16s	R2278	
7772.56s	R2279	
7775.97s	R2280	
7779.36s	R2281	
7782.77s	R2282	
7786.17s	R2283	
7789.56s	R2284	
7792.97s	R2285	
7796.36s	R2286	
7799.77s	R2287	
7803.16s	R2288	
7806.56s	R2289	
7809.96s	R2290	
7813.35s	R2291	
7816.76s	R2292	
7820.15s	R2293	
7823.56s	R2294	
7826.95s	R2295	
7830.36s	R2296	
7833.76s	R2297	
7837.16s	R2298	
7840.56s	R2299	
7843.97s	R2300	
7847.36s	R2301	
7850.77s	R2302	
7854.16s	R2303	
7857.57s	R2304	
7860.96s	R2305	
7864.37s	R2306	
7867.76s	R2307	
7871.17s	R2308	
7874.56s	R2309	
7877.97s	R2310	
7881.36s	R2311	
7884.77s	R2312	
7888.16s	R2313	
7891.57s	R2314	
7894.96s	R2315	
7898.38s	R2316	
7901.77s	R2317	
7905.18s	R2318	
7908.57s	R2319	
7911.98s	R2320	
7915.37s	R2321	
7918.78s	R2322	
7922.17s	R2323	
7925.58s	R2324	
7928.97s	R2325	
7932.38s	R2326	
7935.77s	R2327	
7939.18s	R2328	
7942.57s	R2329	
7945.98s	R2330	
7949.37s	R2331	
7952.78s	R2332	
7956.17s	R2333	
7959.58s	R2334	
7962.97s	R2335	
7966.38s	R2336	
7969.77s	R2337	
7973.18s	R2338	
7976.57s	R2339	
7979.98s	R2340	
7983.37s	R2341	
7986.78s	R2342	
7990.17s	R2343	
7993.58s	R2344	
7996.97s	R2345	
8000.38s	R2346	
8003.77s	R2347	
8007.18s	R2348	
8010.57s	R2349	
8013.98s	R2350	
8017.37s	R2351	
8020.78s	R2352	
8024.17s	R2353	
8027.58s	R2354	
8030.97s	R2355	
8034.38s	R2356	
8037.77s	R2357	
8041.18s	R2358	
8044.57s	R2359	
8047.98s	R2360	
8051.37s	R2361	
8054.78s	R2362	
8058.18s	R2363	
8061.59s	R2364	
8064.98s	R2365	
8068.39s	R2366	
8071.78s	R2367	
8075.19s	R2368	
8078.58s	R2369	
8081.97s	R2370	
8085.38s	R2371	
8088.77s	R2372	
8092.18s	R2373	
8095.57s	R2374	
8098.98s	R2375	
8102.37s	R2376	
8105.78s	R2377	
8109.17s	R2378	
8112.58s	R2379	
8115.99s	R2380	
8119.39s	R2381	
8122.78s	R2382	
8126.19s	R2383	
8129.58s	R2384	
8132.99s	R2385	
8136.38s	R2386	
8139.79s	R2387	
8143.18s	R2388	
8146.59s	R2389	
8149.98s	R2390	
8153.39s	R2391	
8156.78s	R2392	
8160.19s	R2393	
8163.58s	R2394	
8166.99s	R2395	
8170.39s	R2396	
8173.78s	R2397	
8177.19s	R2398	
8180.58s	R2399	
8183.99s	R2400	
8187.38s	R2401	
8190.79s	R2402	
8194.20s	R2403	
8197.60s	R2404	
8200.99s	R2405	
8204.40s	R2406	
8207.79s	R2407	
8211.20s	R2408	
8214.59s	R2409	
8217.98s	R2410	
8221.39s	R2411	
8224.80s	R2412	
8228.19s	R2413	
8231.60s	R2414	
8234.99s	R2415	
8238.38s	R2416	
8241.79s	R2417	
8245.20s	R2418	
8248.60s	R2419	
8251.99s	R2420	
8255.40s	R2421	
8258.79s	R2422	
8262.20s	R2423	
8265.59s	R2424	
8269.00s	R2425	
8272.39s	R2426	
8275.80s	R2427	
8279.19s	R2428	
8282.60s	R2429	
8285.99s	R2430	
8289.40s	R2431	
8292.79s	R2432	
8296.20s	R2433	
8299.60s	R2434	
8303.01s	R2435	
8306.40s	R2436	
8309.79s	R2437	
