238.000	5.611	5.611
239.000	5.378	5.378
240.000	5.221	5.221
241.000	4.988	4.989
242.000	4.756	4.757
243.000	4.524	4.524
244.000	4.293	4.294
245.000	4.061	4.062
246.000	3.828	3.831
247.000	3.587	3.601
248.000	2.591	3.372
249.000	0.487	3.140
250.000	0.071	2.904
210.000	11.289	11.290
211.000	11.290	11.290
212.000	11.290	11.291
213.000	11.291	11.291
214.000	11.136	11.137
215.000	10.902	10.902
216.000	10.669	10.669
217.000	10.434	10.435
218.000	10.200	10.201
219.000	9.966	9.967
220.000	9.730	9.733
221.000	9.499	9.499
222.000	9.265	9.266
223.000	9.031	9.032
224.000	8.875	8.876
225.000	8.642	8.642
226.000	8.408	8.408
227.000	8.174	8.174
228.000	7.942	7.942
229.000	7.708	7.708
230.000	7.475	7.476
231.000	7.241	7.241
232.000	7.008	7.009
233.000	6.775	6.776
234.000	6.542	6.543
235.000	6.309	6.309
236.000	6.077	6.078
237.000	5.844	5.844
238.000	5.611	5.612
239.000	5.378	5.379
240.000	5.221	5.221
241.000	4.988	4.988
242.000	4.756	4.757
243.000	4.524	4.524
244.000	4.292	4.293
245.000	4.061	4.062
246.000	3.829	3.831
247.000	3.587	3.601
248.000	2.597	3.372
249.000	0.489	3.140
250.000	0.071	2.904
210.000	11.289	11.289
211.000	11.290	11.290
212.000	11.291	11.290
213.000	11.291	11.292
214.000	11.136	11.136
215.000	10.902	10.902
216.000	10.668	10.669
217.000	10.434	10.434
218.000	10.199	10.201
219.000	9.966	9.967
220.000	9.733	9.733
221.000	9.499	9.499
222.000	9.265	9.266
223.000	9.031	9.031
224.000	8.875	8.876
225.000	8.641	8.642
226.000	8.408	8.409
227.000	8.174	8.175
228.000	7.942	7.942
229.000	7.708	7.708
230.000	7.475	7.475
231.000	7.241	7.242
232.000	7.009	7.009
233.000	6.775	6.775
234.000	6.542	6.543
235.000	6.309	6.310
236.000	6.077	6.077
237.000	5.844	5.844
238.000	5.612	5.612
239.000	5.378	5.379
240.000	5.220	5.221
241.000	4.988	4.988
242.000	4.756	4.757
243.000	4.524	4.524
244.000	4.293	4.293
245.000	4.061	4.062
246.000	3.829	3.831
247.000	3.587	3.601
248.000	2.600	3.372
249.000	0.490	3.139
250.000	0.071	2.904
210.000	11.289	11.289
211.000	11.290	11.290
212.000	11.290	11.290
213.000	11.291	11.291
214.000	11.136	11.136
215.000	10.902	10.902
216.000	10.668	10.669
217.000	10.434	10.434
218.000	10.201	10.201
